"id","time","gaikei_value","naikei_value","okuri_velocity","hiki_velocity","H1PV","H2PV","H3PV","H4-1PV","H4-2PV","H4-3PV","H4-4PV","H5PV","H6PV","H7PV","H1MV","H2MV","H3MV","H4-1MV","H4-2MV","H4-3MV","H4-4MV","H5MV","H6MV","H7MV","roshinkann_PV1","roshinkann_PV2","roshinkann_PV3","roshinkann_PV4","roshinkann_PV5","roshinkann_PV6","roshinkann_PV7","roshinkann_PV8","roshinkann_PV9","roshinkann_PV10"
27,"2022-02-14 10:09:00",1.801,0.0,0.0,0.0,742.9,780.9,827.1,882.5,898.8,899.5,887.6,822.1,755.3,725.1,26.8,23.0,22.4,26.7,26.1,26.4,26.0,22.4,23.4,31.4,744.1,791.7,841.2,894.4,892.5,890.4,891.7,835.5,786.2,745.5
28,"2022-02-14 10:09:01",1.801,0.0,0.0,0.0,742.9,780.9,827.1,882.5,898.8,899.5,887.6,822.0,755.3,725.0,26.8,23.0,22.4,26.7,26.1,26.4,26.0,22.4,23.4,31.4,744.0,791.7,841.1,894.4,892.5,890.4,891.7,835.5,786.2,745.4
29,"2022-02-14 10:09:02",1.801,0.0,0.0,0.0,742.9,780.9,827.1,882.5,898.9,899.5,887.6,822.0,755.3,725.0,26.8,23.0,22.4,26.7,26.0,26.4,26.0,22.4,23.4,31.4,744.0,791.7,841.1,894.5,892.5,890.4,891.7,835.5,786.2,745.4
30,"2022-02-14 10:09:03",1.801,0.0,0.0,0.0,742.9,780.9,827.1,882.5,898.9,899.5,887.6,822.0,755.3,725.0,26.8,23.0,22.4,26.7,26.0,26.4,26.0,22.4,23.4,31.4,744.1,791.7,841.1,894.5,892.5,890.4,891.7,835.5,786.2,745.4
31,"2022-02-14 10:09:04",1.801,0.0,0.0,0.0,742.9,780.9,827.2,882.5,898.9,899.5,887.6,822.0,755.3,725.0,26.8,23.0,22.4,26.7,26.0,26.4,26.0,22.4,23.4,31.4,744.1,791.7,841.2,894.5,892.6,890.4,891.7,835.5,786.2,745.4
32,"2022-02-14 10:09:05",1.801,0.0,0.0,0.0,742.9,780.9,827.2,882.5,898.9,899.5,887.6,822.0,755.3,725.0,26.8,23.0,22.4,26.7,26.0,26.4,26.0,22.4,23.4,31.4,744.1,791.7,841.2,894.5,892.5,890.4,891.7,835.5,786.2,745.4
33,"2022-02-14 10:09:06",1.801,0.0,0.0,0.0,742.9,780.9,827.2,882.5,898.9,899.5,887.6,822.0,755.3,725.1,26.8,23.0,22.4,26.7,26.0,26.4,26.0,22.4,23.4,31.4,744.2,791.6,841.2,894.5,892.5,890.4,891.7,835.5,786.2,745.4
34,"2022-02-14 10:09:07",1.801,0.0,0.0,0.0,742.9,780.9,827.2,882.5,898.8,899.5,887.6,822.1,755.3,725.1,26.8,23.0,22.4,26.7,26.0,26.4,26.0,22.4,23.4,31.4,744.2,791.6,841.2,894.5,892.5,890.4,891.7,835.6,786.2,745.4
35,"2022-02-14 10:09:08",1.801,0.0,0.0,0.0,742.9,780.9,827.2,882.5,898.8,899.5,887.6,822.1,755.3,725.1,26.8,23.0,22.4,26.7,26.1,26.4,26.0,22.4,23.4,31.4,744.2,791.6,841.2,894.5,892.5,890.4,891.7,835.6,786.2,745.5
36,"2022-02-14 10:09:09",1.801,0.0,0.0,0.0,742.9,780.9,827.2,882.5,898.8,899.5,887.6,822.1,755.3,725.1,26.8,23.0,22.4,26.7,26.1,26.4,26.0,22.4,23.4,31.4,744.1,791.7,841.1,894.4,892.5,890.4,891.7,835.6,786.2,745.5
